sym,tf,group,cond,h,win,n,mean_pips,t
EURUSD,60min,z50,z-2..-1,2,is,2730,0.3655128205128368,1.2541525692310582
EURUSD,60min,z50,z-2..-1,2,oos,2299,0.4760113092648735,1.8281324198789628
EURUSD,60min,z50,z-1..1,2,is,7267,-0.16707031787533624,-0.9651433551832377
EURUSD,60min,z50,z-1..1,2,oos,6178,-0.09105697636776004,-0.5776120067929963
EURUSD,60min,z50,z1..2,2,is,2720,-0.2564338235293987,-0.8252319621301692
EURUSD,60min,z50,z1..2,2,oos,2348,0.09944633730837009,0.343326272909575
EURUSD,60min,z50,z>2,2,is,1178,0.16252122241083736,0.3081109294650099
EURUSD,60min,z50,z>2,2,oos,890,0.07219101123596643,0.12771663742281195
EURUSD,60min,mom4,mom4-,2,is,6394,0.1439943697216341,0.6835899583170457
EURUSD,60min,mom4,mom4-,2,oos,5182,0.2784928598996303,1.4129400774302872
EURUSD,60min,mom4,mom4+,2,is,6398,-0.20170365739295806,-0.9590542902276984
EURUSD,60min,mom4,mom4+,2,oos,5524,0.04304851556844458,0.22712713234961113
EURUSD,60min,mom24,mom24-,2,is,7473,-0.040666399036528314,-0.23099044613035288
EURUSD,60min,mom24,mom24-,2,oos,6270,0.13196172248803198,0.8094694475467928
EURUSD,60min,mom24,mom24+,2,is,7403,-0.016560853707961412,-0.08828651665833215
EURUSD,60min,mom24,mom24+,2,oos,6210,0.10158615136876485,0.5935341071412104
EURUSD,60min,hour,h00,4,is,729,-0.20864197530869613,-0.4630655379747063
EURUSD,60min,hour,h00,4,oos,609,-0.10147783251231293,-0.18105853987728493
EURUSD,60min,hour,h01,4,is,622,-0.08062700964630735,-0.1676369586160584
EURUSD,60min,hour,h01,4,oos,522,-0.21781609195401638,-0.4514601211366004
EURUSD,60min,hour,h02,4,is,622,0.15490353697747158,0.35038396028589697
EURUSD,60min,hour,h02,4,oos,522,0.07662835249042575,0.1588478802190552
EURUSD,60min,hour,h03,4,is,622,-0.7815916398713891,-1.4488224779867955
EURUSD,60min,hour,h03,4,oos,522,0.1284482758620171,0.23386573132688984
EURUSD,60min,hour,h04,4,is,622,-0.2303858520899955,-0.29494497255061186
EURUSD,60min,hour,h04,4,oos,522,-0.11187739463593589,-0.15416568679217538
EURUSD,60min,hour,h05,4,is,622,0.8749999999999528,0.9205266582309649
EURUSD,60min,hour,h05,4,oos,522,0.8355363984674659,0.9710143335896051
EURUSD,60min,hour,h06,4,is,622,-0.04461414790994801,-0.04397793968491561
EURUSD,60min,hour,h06,4,oos,522,0.6227011494252661,0.6649572125620516
EURUSD,60min,hour,h07,4,is,622,0.520337620578851,0.49457737953516945
EURUSD,60min,hour,h07,4,oos,522,0.19856321839074847,0.2294043477176571
EURUSD,60min,hour,h08,4,is,622,-1.9087620578778326,-1.9735145694386678
EURUSD,60min,hour,h08,4,oos,522,0.5072796934865446,0.6486782698670339
EURUSD,60min,hour,h09,4,is,622,-2.692604501607733,-2.5255115141891107
EURUSD,60min,hour,h09,4,oos,522,-0.3639846743295726,-0.39201328151030923
EURUSD,60min,hour,h10,4,is,622,-1.4599678456591525,-1.181365505902644
EURUSD,60min,hour,h10,4,oos,522,-0.009195402298915063,-0.008647483572172114
EURUSD,60min,hour,h11,4,is,622,-0.9975080385853109,-0.7252708126673084
EURUSD,60min,hour,h11,4,oos,522,0.5904214559387665,0.5306866910082353
EURUSD,60min,hour,h12,4,is,622,0.7555466237941956,0.5273359558788903
EURUSD,60min,hour,h12,4,oos,522,-0.18381226053648828,-0.15536140481535296
EURUSD,60min,hour,h13,4,is,622,0.5066720257234953,0.3634430684783213
EURUSD,60min,hour,h13,4,oos,522,-0.557758620689685,-0.5027871139372002
EURUSD,60min,hour,h14,4,is,622,0.09485530546621312,0.08633501356979144
EURUSD,60min,hour,h14,4,oos,522,-0.4797892720305322,-0.4798085474703821
EURUSD,60min,hour,h15,4,is,622,0.011575562700978138,0.012284419466205882
EURUSD,60min,hour,h15,4,oos,522,-0.8242337164750678,-0.9593194744987178
EURUSD,60min,hour,h16,4,is,622,0.7170418006431059,0.8852294535386231
EURUSD,60min,hour,h16,4,oos,522,-0.39770114942526386,-0.5601857616992881
EURUSD,60min,hour,h17,4,is,622,1.0414790996784504,1.482257679709369
EURUSD,60min,hour,h17,4,oos,522,0.41408045977013075,0.6081873407341032
EURUSD,60min,hour,h18,4,is,622,0.8385852090032383,1.240945918881289
EURUSD,60min,hour,h18,4,oos,522,0.502969348658947,0.693958421321031
EURUSD,60min,hour,h19,4,is,622,0.41832797427658536,0.8194365009046771
EURUSD,60min,hour,h19,4,oos,522,1.14760536398471,1.8767484474817844
EURUSD,60min,hour,h20,4,is,622,0.38898713826370435,0.9666901016730708
EURUSD,60min,hour,h20,4,oos,522,1.5534482758620964,2.7442678607537143
EURUSD,60min,hour,h21,4,is,622,-0.15755627009640655,-0.3126695129886039
EURUSD,60min,hour,h21,4,oos,521,1.1517274472169348,1.7005585711153401
EURUSD,60min,hour,h22,4,is,622,-0.13689710610934164,-0.25887654927145043
EURUSD,60min,hour,h22,4,oos,521,0.5340690978886926,0.8045261388397513
EURUSD,60min,hour,h23,4,is,622,0.27315112540189807,0.5160293429591047
EURUSD,60min,hour,h23,4,oos,521,0.004222648752371334,0.006317625235373674
EURUSD,60min,dow,dow0,4,is,2473,0.5135260816821757,1.2531697498924046
EURUSD,60min,dow,dow0,4,oos,2088,-0.21202107279694665,-0.5045366353066554
EURUSD,60min,dow,dow1,4,is,2496,-0.4026241987179522,-0.8361373137772332
EURUSD,60min,dow,dow1,4,oos,2088,-0.16472701149424626,-0.4064352272338124
EURUSD,60min,dow,dow2,4,is,2496,1.4633814102564242,2.9716542918387163
EURUSD,60min,dow,dow2,4,oos,2088,0.422533524904221,0.9255254475358676
EURUSD,60min,dow,dow3,4,is,2473,-0.590396279822075,-1.0696452860920238
EURUSD,60min,dow,dow3,4,oos,2088,0.32164750957853794,0.7234883100438635
EURUSD,60min,dow,dow4,4,is,2496,-0.8815504807692484,-1.9145324339000929
EURUSD,60min,dow,dow4,4,oos,2088,0.4424090038313977,1.0105881032887531
EURUSD,60min,vol,vol_low,4,is,4815,0.14631360332295212,0.8109815084055207
EURUSD,60min,vol,vol_low,4,oos,4194,-0.15391034811633317,-0.8585624974036181
EURUSD,60min,vol,vol_mid,4,is,4736,0.03745777027026417,0.11420569566534093
EURUSD,60min,vol,vol_mid,4,oos,4067,0.2618637816572353,0.9169517552020818
EURUSD,60min,vol,vol_high,4,is,4985,-0.2675727181544598,-0.6603665854883931
EURUSD,60min,vol,vol_high,4,oos,4351,0.5034359917260217,1.4155860610633215
EURUSD,60min,z50,z<-2,4,is,1091,0.16209899175072925,0.21129103349473446
EURUSD,60min,z50,z<-2,4,oos,899,0.07024471635151246,0.11167589657737283
EURUSD,60min,z50,z-2..-1,4,is,2730,0.7547985347985358,1.8138140864065557
EURUSD,60min,z50,z-2..-1,4,oos,2299,1.1704001739886778,3.215562736253159
EURUSD,60min,z50,z-1..1,4,is,7267,-0.35369478464291815,-1.4533174791781909
EURUSD,60min,z50,z-1..1,4,oos,6177,-0.05097943985754973,-0.228668256845405
EURUSD,60min,z50,z1..2,4,is,2720,-0.4102941176470284,-0.9163675080591194
EURUSD,60min,z50,z1..2,4,oos,2347,-0.13099701746907658,-0.32342627661914364
EURUSD,60min,z50,z>2,4,is,1178,0.3323429541595571,0.44988390371021375
EURUSD,60min,z50,z>2,4,oos,890,0.5375280898876666,0.6851899723251423
EURUSD,60min,mom4,mom4-,4,is,6394,0.17981701595245284,0.5980333949595794
EURUSD,60min,mom4,mom4-,4,oos,5182,0.4035025086838726,1.5174179660789466
EURUSD,60min,mom4,mom4+,4,is,6398,-0.23990309471709936,-0.8141763765993181
EURUSD,60min,mom4,mom4+,4,oos,5522,0.12740854762769233,0.46842005062740905
EURUSD,60min,mom24,mom24-,4,is,7473,0.020714572460863872,0.08285334898282382
EURUSD,60min,mom24,mom24-,4,oos,6270,0.10869218500796189,0.4804363737083402
EURUSD,60min,mom24,mom24+,4,is,7403,-0.13146697284884967,-0.4958895554881638
EURUSD,60min,mom24,mom24+,4,oos,6208,0.26343427835052574,1.0911287169658035
EURUSD,60min,hour,h00,8,is,729,-0.4275720164609285,-0.5580729708286304
EURUSD,60min,hour,h00,8,oos,609,-0.19737274220025777,-0.23594770421943984
EURUSD,60min,hour,h01,8,is,622,0.7943729903536453,0.7479722827444075
EURUSD,60min,hour,h01,8,oos,522,0.6177203065134498,0.6237780963468111
EURUSD,60min,hour,h02,8,is,622,0.11028938906752359,0.10059016384980216
EURUSD,60min,hour,h02,8,oos,522,0.699329501915692,0.6629273406558058
EURUSD,60min,hour,h03,8,is,622,-0.26125401929253816,-0.21837536231160035
EURUSD,60min,hour,h03,8,oos,522,0.32701149425276554,0.3091829361770551
EURUSD,60min,hour,h04,8,is,622,-2.1391479099678286,-1.7246058343341646
EURUSD,60min,hour,h04,8,oos,522,0.39540229885060874,0.3699242797977401
EURUSD,60min,hour,h05,8,is,622,-1.8176045016077795,-1.3086093621723458
EURUSD,60min,hour,h05,8,oos,522,0.471551724137894,0.3642296012028846
EURUSD,60min,hour,h06,8,is,622,-1.5045819935691003,-0.9236295050508059
EURUSD,60min,hour,h06,8,oos,522,0.6135057471263514,0.432373315494221
EURUSD,60min,hour,h07,8,is,622,-0.4771704180064602,-0.28125529630861357
EURUSD,60min,hour,h07,8,oos,522,0.7889846743295147,0.5438674060042062
EURUSD,60min,hour,h08,8,is,622,-1.1532154340836367,-0.669966581093912
EURUSD,60min,hour,h08,8,oos,522,0.32346743295005614,0.23216103814212244
EURUSD,60min,hour,h09,8,is,622,-2.185932475884237,-1.2569415176362837
EURUSD,60min,hour,h09,8,oos,522,-0.9217432950192573,-0.6602987028561518
EURUSD,60min,hour,h10,8,is,622,-1.3651125401929392,-0.8149609382116925
EURUSD,60min,hour,h10,8,oos,522,-0.4889846743294471,-0.35207436843028084
EURUSD,60min,hour,h11,8,is,622,-0.9859324758843329,-0.5937033152229302
EURUSD,60min,hour,h11,8,oos,522,-0.23381226053630103,-0.16739402577439627
EURUSD,60min,hour,h12,8,is,622,1.4725884244373022,0.8772976533912344
EURUSD,60min,hour,h12,8,oos,522,-0.5815134099617519,-0.40619096801001536
EURUSD,60min,hour,h13,8,is,622,1.5481511254019453,0.9855357114373634
EURUSD,60min,hour,h13,8,oos,522,-0.14367816091955407,-0.1103685276502947
EURUSD,60min,hour,h14,8,is,622,0.9334405144694514,0.7455169177482519
EURUSD,60min,hour,h14,8,oos,522,0.02318007662841504,0.01958964028881208
EURUSD,60min,hour,h15,8,is,622,0.4299035369775632,0.41542556952411236
EURUSD,60min,hour,h15,8,oos,522,0.32337164750964253,0.30086140360665636
EURUSD,60min,hour,h16,8,is,622,1.1060289389068105,1.2152479443306263
EURUSD,60min,hour,h16,8,oos,522,1.1557471264368329,1.2365089144155677
EURUSD,60min,hour,h17,8,is,622,0.8839228295820443,1.0077454899132212
EURUSD,60min,hour,h17,8,oos,521,1.5462571976967958,1.6974558127510122
EURUSD,60min,hour,h18,8,is,622,0.7016881028938966,0.8274412702323366
EURUSD,60min,hour,h18,8,oos,521,1.0309021113243364,1.1441913373999932
EURUSD,60min,hour,h19,8,is,622,0.6914790996784831,0.9041251363500875
EURUSD,60min,hour,h19,8,oos,521,1.1482725527831181,1.3081416817574052
EURUSD,60min,hour,h20,8,is,622,0.14188102893888666,0.20716450185982427
EURUSD,60min,hour,h20,8,oos,521,1.4281190019194168,1.6207526042617504
EURUSD,60min,hour,h21,8,is,622,-0.2601286173632973,-0.3726828060071495
EURUSD,60min,hour,h21,8,oos,521,0.9334932821497626,1.0840563549570261
EURUSD,60min,hour,h22,8,is,622,0.04091639871379272,0.05998201653723338
EURUSD,60min,hour,h22,8,oos,521,0.6108445297505012,0.7033645444815414
EURUSD,60min,hour,h23,8,is,622,-0.4806270096463435,-0.6430610146756179
EURUSD,60min,hour,h23,8,oos,521,0.1329174664106687,0.15050258611429634
EURUSD,60min,dow,dow0,8,is,2473,1.0727658714112258,1.9187985727295693
EURUSD,60min,dow,dow0,8,oos,2088,-0.7789990421456162,-1.318850776512975
EURUSD,60min,dow,dow1,8,is,2496,-0.8465745192307715,-1.2293763638925292
EURUSD,60min,dow,dow1,8,oos,2088,-0.42159961685822045,-0.7117730280080409
EURUSD,60min,dow,dow2,8,is,2496,2.842528044871817,4.021424100513382
EURUSD,60min,dow,dow2,8,oos,2088,1.1460009578543897,1.8035900151257234
EURUSD,60min,dow,dow3,8,is,2473,-0.9801051354629696,-1.261320829758949
EURUSD,60min,dow,dow3,8,oos,2088,0.3637931034482887,0.5650773913180025
EURUSD,60min,dow,dow4,8,is,2496,-1.8181490384615802,-2.886834979500874
EURUSD,60min,dow,dow4,8,oos,2088,1.0422653256704564,1.8166121673486593
EURUSD,60min,vol,vol_low,8,is,4815,-0.38428868120457904,-1.33113208693794
EURUSD,60min,vol,vol_low,8,oos,4190,0.06643198090692776,0.24179628410581316
EURUSD,60min,vol,vol_mid,8,is,4736,-0.041532939189197336,-0.0853484156824713
EURUSD,60min,vol,vol_mid,8,oos,4067,-0.29770100811408856,-0.6976209313958432
EURUSD,60min,vol,vol_high,8,is,4985,0.23665997993983678,0.441743212447634
EURUSD,60min,vol,vol_high,8,oos,4351,1.4088600321765026,2.9818138928250404
EURUSD,60min,z50,z<-2,8,is,1091,-0.2770852428964046,-0.28235346100895253
EURUSD,60min,z50,z<-2,8,oos,899,1.0013904338153876,1.2221611540181663
EURUSD,60min,z50,z-2..-1,8,is,2730,1.3458974358974218,2.2809616231798593
EURUSD,60min,z50,z-2..-1,8,oos,2299,1.681622444541071,3.3943175959746843
EURUSD,60min,z50,z-1..1,8,is,7267,-0.4245080500894345,-1.2246817527214175
EURUSD,60min,z50,z-1..1,8,oos,6173,0.2173659484853423,0.6658090609264238
EURUSD,60min,z50,z1..2,8,is,2720,-0.6147242647058966,-0.9328369026430721
EURUSD,60min,z50,z1..2,8,oos,2347,-0.9526629740093772,-1.7064165797272959
EURUSD,60min,z50,z>2,8,is,1178,-0.6008064516129227,-0.6131086482647036
EURUSD,60min,z50,z>2,8,oos,890,1.4891573033708168,1.3639326579256763
EURUSD,60min,mom4,mom4-,8,is,6394,0.6269236784485426,1.496277257865585
EURUSD,60min,mom4,mom4-,8,oos,5182,0.6319567734465119,1.728710232404028
EURUSD,60min,mom4,mom4+,8,is,6398,-0.5997186620818985,-1.4393901882437103
EURUSD,60min,mom4,mom4+,8,oos,5522,0.209181455994217,0.5400314426910042
EURUSD,60min,mom24,mom24-,8,is,7473,-0.1385989562424707,-0.39953425936079934
EURUSD,60min,mom24,mom24-,8,oos,6267,0.5362374341790253,1.662056551586711
EURUSD,60min,mom24,mom24+,8,is,7403,-0.11337295690936171,-0.29913026899401907
EURUSD,60min,mom24,mom24+,8,oos,6208,0.23945715206185936,0.7089983833241501
EURUSD,60min,hour,h00,24,is,729,-0.7449931412894121,-0.4081551214237325
EURUSD,60min,hour,h00,24,oos,609,1.0866995073891936,0.6172357965964856
EURUSD,60min,hour,h01,24,is,622,-0.5076366559485482,-0.23865718400108504
EURUSD,60min,hour,h01,24,oos,521,1.2416506717850277,0.6293684795987331
EURUSD,60min,hour,h02,24,is,622,-0.5531350482315192,-0.26202311634119657
EURUSD,60min,hour,h02,24,oos,521,1.2416506717850269,0.6308351692287509
EURUSD,60min,hour,h03,24,is,622,-0.5557073954983884,-0.2616452387766811
