sym,cond,h,win,n,mean,t,tf
AUDUSD,spike_up,2,is,1016,-0.28007997695520076,-1.178249742534506,15min
AUDUSD,spike_up,2,oos,558,0.034682074898579184,0.11372875377382258,15min
AUDUSD,spike_up,4,is,1016,-0.2706422373749405,-0.8511786817657017,15min
AUDUSD,spike_up,4,oos,558,-0.006608804909316506,-0.01570305317289346,15min
AUDUSD,spike_up,8,is,1016,-0.3477313251435365,-0.8422807623452342,15min
AUDUSD,spike_up,8,oos,558,-0.2807963316472366,-0.5477780617744058,15min
AUDUSD,spike_up,12,is,1016,-0.12969246015626593,-0.2779104267515599,15min
AUDUSD,spike_up,12,oos,558,-0.3166011834786853,-0.5273661116151457,15min
AUDUSD,spike_up,24,is,1016,-0.42242625889520186,-0.7230639032523295,15min
AUDUSD,spike_up,24,oos,558,-0.050234125314962685,-0.06692699866350774,15min
AUDUSD,spike_dn,1,is,1018,0.26579591022760296,1.4715467477157462,15min
