pair,dir,t_in,t_out,entry,sl,tp,exit,reason,lots,risk_pct,risk_usd,pips,pnl,spread_cost,slip_cost,commission,equity_at_entry,hold_h
NZDUSD,-1,2024-01-16 00:03:00+00:00,2024-01-16 01:03:00+00:00,0.6186250000000001,0.619739719928981,0.6163955601420382,0.6163955601420382,TP,0.04,2.072457309928883,5.378735299590772,22.29439857961868,8.637759431847472,0.45999999999990493,0.16000000000000003,0.28,215.14941198363087,1.0
USDJPY,1,2024-01-16 02:22:00+00:00,2024-01-16 09:42:00+00:00,146.11849999999998,145.90300265302153,146.54949469395692,146.54949469395692,TP,0.03,1.896629074695957,5.831974040110577,43.09946939569329,8.638873221876755,0.2155784517360466,0.08212512447089179,0.21,233.27896160442307,7.333333333333333
GBPUSD,-1,2024-01-16 18:02:00+00:00,2024-01-17 07:43:00+00:00,1.2623550000000001,1.2655097703378426,1.256045459324315,1.2655297703378425,SL,0.01,1.304066870517271,6.047945870657497,-31.74770337842414,-3.244770337842414,0.10500000000002725,0.04000000000000001,0.07,241.91783482629984,13.683333333333334
GBPUSD,-1,2024-01-17 13:01:00+00:00,2024-01-18 06:54:00+00:00,1.26716,1.270372761452388,1.260734477095224,1.270392761452388,SL,0.01,1.3460930160987488,5.9668266122114355,-32.32761452387933,-3.302761452387933,0.1,0.04000000000000001,0.07,238.6730644884574,17.883333333333333
EURUSD,-1,2024-01-18 08:01:00+00:00,2024-01-18 14:44:00+00:00,1.0885600000000002,1.0902896043355794,1.0851007913288417,1.0851007913288417,TP,0.03,2.2045317271578324,5.884257575901737,34.592086711584535,10.16762601347536,0.3,0.12,0.21,235.3703030360695,6.716666666666667
USDJPY,1,2024-01-19 02:03:00+00:00,2024-01-19 08:54:00+00:00,148.40300000000002,148.0995798732177,149.00984025356465,148.09757987321768,SL,0.03,2.4980686622372543,6.138448226238621,-30.542012678233732,-6.384136509012701,0.20215224759607284,0.08086089903842913,0.21,245.53792904954486,6.85
USDCAD,1,2024-01-16 19:12:00+00:00,2024-01-19 09:00:00+00:00,1.3500800000000002,1.3475354290814257,1.3551691418371492,1.3475154290814257,SL,0.03,2.3372675179835474,6.047945870657497,-25.64570918574427,-5.908708784459646,0.27776131784792396,0.08888362171130598,0.21,241.91783482629984,61.8
GBPUSD,-1,2024-01-19 14:03:00+00:00,2024-01-19 18:12:00+00:00,1.267025,1.2692325531555115,1.2626098936889771,1.2692525531555114,SL,0.02,1.892904339042916,5.831127093901813,-22.275531555113748,-4.595106311022749,0.2,0.08000000000000002,0.14,233.24508375607252,4.15
EURUSD,-1,2024-01-21 22:08:00+00:00,2024-01-21 22:08:00+00:00,1.0890600000000001,1.0893672164516446,1.088445567096711,1.0893872164516445,SL,0.18,2.4184984365154696,5.716249436126244,-3.272164516443521,-7.149896129598337,2.8799999999988835,0.7200000000000001,1.26,228.64997744504976,0.0
AUDUSD,-1,2024-01-19 14:03:00+00:00,2024-01-22 00:43:00+00:00,0.658725,0.6603145810427946,0.6555458379144109,0.6603345810427946,SL,0.03,2.044520318109203,5.831127093901813,-16.095810427946276,-5.038743128383882,0.3,0.12,0.21,233.24508375607252,58.666666666666664
USDCAD,1,2024-01-22 04:01:00+00:00,2024-01-22 08:22:00+00:00,1.34368,1.3429545568950745,1.345130886209851,1.3429345568950746,SL,0.1,2.4941763983884377,5.411533454676689,-7.45443104925414,-6.247772571783565,0.8558585377469468,0.29768992617289836,0.7000000000000001,216.46133818706753,4.35
EURUSD,-1,2024-01-22 11:01:00+00:00,2024-01-22 12:12:00+00:00,1.0885250000000002,1.0894868476178299,1.0866013047643408,1.0895068476178298,SL,0.05,2.2877867444339013,5.255339140382099,-9.81847617829601,-5.259238089148004,0.5,0.2,0.35000000000000003,210.21356561528395,1.1833333333333333
USDCAD,1,2024-01-22 14:18:00+00:00,2024-01-22 14:41:00+00:00,1.3444000000000003,1.3431685582986679,1.3468628834026648,1.343148558298668,SL,0.05,2.2345921265337845,5.123858188153399,-12.514417013322898,-5.004275890108188,0.3905087771497591,0.14876524843796488,0.35000000000000003,204.95432752613596,0.38333333333333336
AUDUSD,-1,2024-01-22 04:39:00+00:00,2024-01-22 18:27:00+00:00,0.65923,0.6600215376336452,0.6576469247327096,0.6576469247327096,TP,0.06,2.1940295859055157,5.411533454676689,15.830752672904014,9.078451603742408,0.6,0.24,0.42,216.46133818706753,13.8
NZDUSD,-1,2024-01-22 16:02:00+00:00,2024-01-22 20:05:00+00:00,0.6102100000000001,0.6114176641076143,0.6077946717847716,0.6077946717847716,TP,0.04,2.41593157437649,4.998751290900694,24.15328215228496,9.381312860913985,0.4799999999998139,0.16000000000000003,0.28,199.95005163602778,4.05
EURUSD,-1,2024-01-22 23:46:00+00:00,2024-01-23 02:23:00+00:00,1.087865,1.0890869596164117,1.085421080767177,1.0891069596164116,SL,0.04,2.237920690978905,5.460245402517105,-12.419596164114921,-5.247838465645969,0.4,0.16000000000000003,0.28,218.4098161006842,2.6166666666666667
USDJPY,1,2024-01-23 00:01:00+00:00,2024-01-23 03:54:00+00:00,148.1975,147.9525534654757,148.68739306904857,147.95055346547568,SL,0.03,2.2702805245479505,5.460245402517105,-24.694653452431226,-5.209002031565558,0.21255419288445163,0.08097302586076015,0.21,218.4098161006842,3.8833333333333333
USDCHF,1,2024-01-23 08:03:00+00:00,2024-01-23 14:23:00+00:00,0.867075,0.8656469729111207,0.8699310541777587,0.8699310541777587,TP,0.03,2.375942340257576,5.198824390086816,28.560541777586934,9.671685590376933,0.36329037280502285,0.13839633249718883,0.21,207.95297560347268,6.333333333333333
AUDUSD,-1,2024-01-23 08:01:00+00:00,2024-01-23 15:47:00+00:00,0.6596850000000001,0.6612826347662395,0.6564897304675212,0.6564897304675212,TP,0.03,2.304801979779022,5.198824390086816,31.952695324788394,9.375808597436517,0.3,0.12,0.21,207.95297560347268,7.766666666666667
USDCAD,1,2024-01-23 15:47:00+00:00,2024-01-23 19:41:00+00:00,1.34891,1.347284099338865,1.3521618013222703,1.3472640993388652,SL,0.04,2.123949901837517,5.675011744782154,-16.459006611349025,-5.16068339958901,0.35584286572123863,0.11861428857373733,0.28,227.00046979128615,3.9
USDJPY,1,2024-01-23 15:13:00+00:00,2024-01-24 03:43:00+00:00,148.3825,147.92461648249298,149.29826703501402,147.92261648249297,SL,0.01,1.4179607794483449,5.440616529846241,-45.98835175070235,-3.169311020551773,0.06739339207790676,0.026957356831162706,0.07,217.62466119384962,12.5
USDCAD,1,2024-01-24 01:03:00+00:00,2024-01-24 08:16:00+00:00,1.3464500000000004,1.3448918377900256,1.3495663244199496,1.3448718377900257,SL,0.04,2.0866181923790297,5.545994659792428,-15.781622099746428,-4.968364840802534,0.3564930001114307,0.11883100003713468,0.28,221.83978639169715,7.216666666666667
USDCAD,1,2024-01-24 15:01:00+00:00,2024-01-24 19:22:00+00:00,1.3478350000000001,1.3456446258444736,1.3522157483110533,1.3522157483110533,TP,0.03,2.2813610379049343,5.342552763258571,43.80748311053173,9.54063337363959,0.23370813193015594,0.08903166930670298,0.21,213.70211053034285,4.35
USDJPY,1,2024-01-24 20:17:00+00:00,2024-01-25 14:12:00+00:00,147.6035,147.17286345672647,148.46477308654704,147.17086345672647,SL,0.01,1.306883495127021,5.581068597599561,-43.26365432735315,-3.001072388348051,0.06774907099092951,0.027099628396345617,0.07,223.24274390398244,17.916666666666668
